symbol,sector,entry_date,exit_date,holding_days,qty,entry_price,exit_price,gross_pl,entry_costs,exit_costs,tax_type,tax,net_pl,net_return_pct,entry_score,peak_score,exit_score,peak_price,exit_reason,slippage_bps
SUPREMEIND,Industrials,2021-06-03,2021-07-02,29,43,2276.274,2176.821,-4276.48,116.21,97.09,STCG,0.0,-4489.77,-4.587,174.58,174.58,71.94,2276.274,LVM_ROTATION,10.0
VOLTAS,Consumer Cyclical,2021-06-03,2021-07-02,29,94,1043.042,1015.983,-2543.55,116.4,99.06,STCG,0.0,-2759.01,-2.814,169.83,169.83,69.44,1111.55,LVM_ROTATION,10.0
DIVISLAB,Healthcare,2021-06-03,2021-07-02,29,23,4235.231,4431.2645,4508.77,115.65,105.71,STCG,857.48,3429.93,3.5211,163.97,163.97,72.5,4435.7002,LVM_ROTATION,10.0
INFY,Technology,2021-06-03,2021-08-03,61,70,1389.4881,1645.353,17910.54,115.47,119.46,STCG,3535.12,14140.49,14.5382,178.77,184.44,75.14,1631.55,LVM_ROTATION,10.0
SIEMENS,Industrials,2021-06-03,2021-08-03,61,79,1233.9317,1168.1337,-5198.04,115.73,95.72,STCG,0.0,-5409.49,-5.5493,174.02,174.44,70.72,1256.5898,LVM_ROTATION,10.0
SOLARINDS,Basic Materials,2021-06-03,2021-08-03,61,61,1613.612,1718.28,6384.75,116.86,108.72,STCG,1231.83,4927.34,5.0059,165.92,165.92,64.09,1719.9,LVM_ROTATION,10.0
ASIANPAINT,Basic Materials,2021-06-03,2021-08-03,61,33,2922.5197,3016.98,3117.19,114.5,103.27,STCG,579.88,2319.54,2.4051,165.36,173.06,68.51,3159.05,LVM_ROTATION,10.0
TITAN,Consumer Cyclical,2021-07-02,2021-08-03,32,63,1756.755,1778.22,1352.29,131.4,116.2,STCG,220.94,883.76,0.7985,173.89,173.89,69.61,1771.55,LVM_ROTATION,10.0
HCLTECH,Technology,2021-07-02,2021-08-03,32,112,984.5335,1028.97,4976.89,130.91,119.53,STCG,945.29,3781.15,3.4291,169.44,169.44,59.12,1039.75,LVM_ROTATION,10.0
LT,Industrials,2021-07-02,2021-08-03,32,73,1501.5,1623.375,8896.88,130.13,122.92,STCG,1728.77,6915.06,6.3088,167.78,167.78,70.99,1642.15,LVM_ROTATION,10.0
TECHM,Technology,2021-06-03,2021-09-02,91,96,1017.967,1434.564,39993.31,116.02,142.84,STCG,7946.89,31787.56,32.5276,170.67,176.67,73.48,1463.35,LVM_ROTATION,10.0
TATACONSUM,Consumer Defensive,2021-06-03,2021-09-02,91,145,676.676,865.5336,27384.35,116.49,130.17,STCG,5427.54,21710.15,22.1266,169.27,175.0,71.27,867.45,LVM_ROTATION,10.0
GRASIM,Basic Materials,2021-08-03,2021-09-02,30,80,1570.3311,1482.6148,-7017.3,149.15,123.02,STCG,0.0,-7289.48,-5.8025,180.39,180.39,78.73,1586.0934,LVM_ROTATION,10.0
SRF,Industrials,2021-08-03,2021-09-02,30,70,1791.79,1990.008,13875.26,148.91,144.49,STCG,2716.37,10865.49,8.6629,173.76,173.76,76.24,2027.95,LVM_ROTATION,10.0
WIPRO,Technology,2021-08-03,2021-09-02,30,416,302.302,322.1775,8268.21,149.3,139.02,STCG,1595.98,6383.91,5.0764,173.48,173.48,78.18,321.025,LVM_ROTATION,10.0
POLYCAB,Industrials,2021-08-03,2021-09-02,30,67,1873.872,2132.865,17352.53,149.06,148.22,STCG,3411.05,13644.2,10.8676,173.2,173.2,75.97,2126.6499,LVM_ROTATION,10.0
AMBUJACEM,Basic Materials,2021-08-03,2021-09-02,30,298,421.2709,421.1284,-42.46,149.04,130.17,STCG,0.0,-321.68,-0.2562,169.89,169.89,72.1,422.2,LVM_ROTATION,10.0
MFSL,Financial Services,2021-08-03,2021-09-02,30,113,1108.107,1076.872,-3529.55,148.66,126.22,STCG,0.0,-3804.43,-3.0383,167.4,167.4,71.27,1124.7,LVM_ROTATION,10.0
ULTRACEMCO,Basic Materials,2021-06-03,2021-10-02,121,14,6636.63,7488.504,11926.24,110.31,108.74,STCG,2341.44,9365.75,10.0801,168.99,180.39,74.18,8026.25,LVM_ROTATION,10.0
DIVISLAB,Healthcare,2021-08-03,2021-10-02,60,25,4935.5307,4885.11,-1260.52,136.53,126.67,STCG,0.0,-1523.72,-1.2349,171.82,171.82,65.11,5212.1001,LVM_ROTATION,10.0
INFY,Technology,2021-09-02,2021-10-02,30,85,1679.0273,1670.8275,-696.98,156.24,147.31,STCG,0.0,-1000.53,-0.7011,183.43,183.43,73.35,1763.85,LVM_ROTATION,10.0
TCS,Technology,2021-09-02,2021-10-02,30,38,3737.734,3721.0752,-633.03,168.63,146.66,STCG,0.0,-948.33,-0.6677,177.9,177.9,65.66,3954.55,LVM_ROTATION,10.0
