,equity,benchmark,drawdown_pct
2021-06-02,992950.0157057617,1000000.0,0.0
2021-06-03,1005115.9046828125,1007328.4506253877,0.0
2021-06-04,1002378.726765332,1006038.0454480677,-0.2723246050259531
2021-06-07,1010108.4964186524,1011263.9920591995,0.0
2021-06-08,1015247.1723219727,1010522.4260093821,0.0
2021-06-09,1009411.538471875,1003797.42256268,-0.5747993207162572
2021-06-10,1016381.7243239258,1010371.5798886635,0.0
2021-06-11,1018047.5741164063,1014326.3062405717,0.0
2021-06-14,1018217.1435744141,1015128.8126184599,0.0
2021-06-15,1021663.214253125,1018813.9469840463,0.0
2021-06-16,1015429.1485792969,1012284.7425543866,-0.6101879354034945
2021-06-17,1022609.2190138672,1007395.9113177789,0.0
2021-06-18,1014475.8784987305,1006879.0470537703,-0.795351769171404
2021-06-21,1013366.3982741211,1010933.3343531853,-0.9038468036362102
2021-06-22,1017895.1806227539,1012618.5977467501,-0.4609814094634457
2021-06-23,1016422.9007765625,1007110.2065080886,-0.6049542799223318
2021-06-24,1022745.9043776367,1013754.9593170019,0.0
2021-06-25,1023007.2833449219,1018242.5373646655,0.0
2021-06-28,1029756.6945998047,1015311.8216901047,0.0
2021-06-29,1025050.7825514649,1011058.5378872978,-0.45699261515058653
2021-06-30,1026940.8781935547,1009328.321597409,-0.27344482643487655
2021-07-01,1123167.2492795899,1006664.0004228204,0.0
2021-07-02,1126431.7765623047,1009373.274493733,0.0
2021-07-05,1128797.287243457,1016573.3240986583,0.0
2021-07-06,1124984.443066211,1015539.7209622627,-0.3377793533289819
2021-07-07,1124828.640759082,1019481.6573687735,-0.35158185878232384
2021-07-08,1123935.5481077149,1009739.229941212,-0.4307008167617643
2021-07-09,1122592.2335325195,1007293.1528839227,-0.5497048744766531
2021-07-12,1126738.0764890625,1007472.9017734075,-0.18242520403491946
2021-07-13,1125798.1361814453,1015160.9128735752,-0.2656943895866126
2021-07-14,1136075.3335081055,1017831.6917166734,0.0
2021-07-15,1152541.7986570313,1022341.7775604045,0.0
2021-07-16,1144022.54035625,1022290.4296913818,-0.7391713090760033
2021-07-19,1136263.3906370117,1011312.1424418727,-1.4123919877775837
2021-07-20,1135861.8247800781,1003588.7709044291,-1.447233748605825
2021-07-22,1153080.0256467774,1015912.0713824407,0.0
2021-07-23,1152101.1475339844,1017966.4877098342,-0.08489246982176235
2021-07-26,1152700.1958738281,1015937.7766648574,-0.03294045205025631
2021-07-27,1151995.2130857422,1010930.1368668358,-0.09407955535667423
2021-07-28,1147321.0160642578,1008551.5205019377,-0.4994457847181222
2021-07-29,1152809.5514036133,1012984.5531942291,-0.02345667578556032
2021-07-30,1164005.1306882813,1011995.8402583469,0.0
2021-08-02,1273129.6963685548,1019834.7601750442,0.0
2021-08-03,1286713.6243470705,1035602.3804094652,0.0
2021-08-04,1271845.3543275392,1043823.2432053884,-1.1555228559172237
